question_id,source_type,source_name,component,paper,year,season,section,topic_id,subtopic_id,command_word,marks,difficulty,answer_type,estimated_minutes,title,prompt,feedback_rule_id,mark_scheme_points,common_pitfalls,tags
p1-test-011,curriculum-authored,Derived from specification pages 18-19,core,paper-1,,,topic-practice,introduction-to-programming,testing,create,6,secure,test-design,8,Build a mini test plan,"Create three test cases for a function that accepts a mark from 0 to 100 and returns Pass when the mark is 40 or more. Include valid, boundary, and invalid data with expected results.",test-design,One valid test case such as 65 returning Pass. | One boundary test such as 40 returning Pass or 39 returning Fail. | One invalid test such as 120 or text input that should be rejected. | Expected results are explicit. | The cases are clearly labelled by type. | The answer aligns tests to the stated requirement.,Using only valid data. | Failing to state the expected result.,paper-1|testing|boundary-testing|test-data
p1-ei-012,curriculum-authored,Derived from specification pages 19-21,core,paper-1,,,paper-practice,emerging-issues,impact-of-digital-technologies,evaluate,6,stretch,extended-open,8,Digital inclusion and AI,Evaluate the impact of increased use of generative AI in public digital services on citizens and organisations.,levels-evaluate,"Benefits may include faster service, wider access, automation, or improved availability. | Risks may include bias, exclusion, privacy concerns, reduced empathy, or over-reliance on AI. | A strong answer considers both organisational and user impact. | The response uses context such as accessibility, fairness, and trust. | There is a reasoned overall judgement.",Listing only positives or only negatives. | Ignoring inclusion and bias.,paper-1|emerging-issues|ai|digital-inclusion
p1-leg-013,curriculum-authored,Derived from specification pages 21-23,core,paper-1,,,paper-practice,legislation-and-regulation,legislation,explain,5,secure,scenario-response,6,Law in a software company,Explain how the Data Protection Act/GDPR and the Computer Misuse Act affect the work of a company developing an online employee portal.,points-linked-explanation,"DPA/GDPR requires lawful handling of personal data and appropriate protection. | The company should collect only necessary data and keep it secure. | The Computer Misuse Act makes unauthorised access or malicious actions illegal. | The organisation must prevent misuse by staff and external attackers. | A strong answer links the laws to design, access control, or organisational procedures.",Confusing DPA/GDPR with copyright. | Describing generic ethics without naming legal impact.,paper-1|legislation|gdpr|cma
p2-2021-001,official-past-paper,Paper 2 Autumn 2021,core,paper-2,2021,Autumn,section-a,data,data-information-knowledge,state,2,foundation,short-open,2,Ways data is generated,State two ways data may be generated.,points-identify,"Valid answers include humans, AI or machine learning, sensors, IoT devices, or transactional systems. | Two distinct methods are needed for full marks.",Giving examples of data rather than methods of generation.,paper-2|official|data-generation
p2-2021-002,official-past-paper,Paper 2 Autumn 2021,core,paper-2,2021,Autumn,section-a,digital-environments,networks,complete,2,foundation,table-completion,2,Complete the OSI model,Complete the 7-layer OSI model by naming the missing layers 1 and 4.,points-identify,Layer 1 is Application. | Layer 4 is Transport.,Using TCP/IP layer names in the wrong positions.,paper-2|official|osi|networks
p2-2021-003,official-past-paper,Paper 2 Autumn 2021,core,paper-2,2021,Autumn,section-a,business-context,change-management,state,2,foundation,short-open,2,Triggers for organisational change,State two factors that can trigger change in organisations.,points-identify,"Valid answers include competition, legislation, market demand, new technologies, system failures, or restructuring. | Two distinct factors are required.",Giving project tasks rather than change triggers.,paper-2|official|change-management
p2-2021-004,official-past-paper,Paper 2 Autumn 2021,core,paper-2,2021,Autumn,section-a,data,visualisation-models-and-access,describe,2,foundation,short-open,3,Linking tables in a relational database,Describe how data from two different tables in a relational database may be linked together.,points-linked-explanation,Tables can be linked using a common field or key. | The linked field usually acts as a primary key in one table and a foreign key in another.,Saying the tables are linked because they are stored in the same database.,paper-2|official|databases|relational-model
p2-2021-005,official-past-paper,Paper 2 Autumn 2021,core,paper-2,2021,Autumn,section-a,data,visualisation-models-and-access,explain,3,foundation,short-open,4,Why use a graph for sales summary,Explain why an accountant would choose to use a graph to present a summary of monthly sales data to business owners.,points-linked-explanation,A graph makes trends or changes over time easier to see. | It allows quicker interpretation than raw rows of figures for many audiences. | The explanation links the visual choice to decision-making or clarity.,Only saying 'graphs look better'.,paper-2|official|data-visualisation|graphs
p2-2021-006,official-past-paper,Paper 2 Autumn 2021,core,paper-2,2021,Autumn,section-a,business-context,project-feasibility,explain,4,secure,scenario-response,5,Feasibility factors,Explain two factors that can determine the feasibility of a digital project.,points-linked-explanation,"Valid factors include budget, time, staffing, technology, productivity impact, disruption, support, or resistance to change. | Each factor needs a linked explanation of how it affects viability.",Naming generic project goals instead of feasibility factors.,paper-2|official|feasibility|business-context
p2-2022-001,official-past-paper,Paper 2 Autumn 2022,core,paper-2,2022,Autumn,section-a,digital-environments,networks,name,2,foundation,short-open,2,Name two TCP/IP layers,Name two layers of the four-layer TCP/IP model.,points-identify,"Valid answers include application, transport, internet, and network access. | Two correct layers are required.",Using OSI-only names such as presentation.,paper-2|official|tcp-ip|networks
p2-2022-002,official-past-paper,Paper 2 Autumn 2022,core,paper-2,2022,Autumn,section-a,security,threats-and-vulnerabilities,explain,4,secure,short-open,5,Technical threats to digital systems,Explain two technical threats to digital systems.,points-linked-explanation,"Valid threats include botnets, DDoS, hacking, malware, social engineering, insecure APIs, open networks, or man-in-the-middle attacks. | Each threat needs a linked explanation of what it does or why it is harmful.",Naming a threat without saying what impact it has.,paper-2|official|security-threats
p2-2022-003,official-past-paper,Paper 2 Autumn 2022,core,paper-2,2022,Autumn,section-a,data,data-information-knowledge,describe,2,foundation,short-open,3,Transforming data into information,Describe how data may be transformed into information.,points-linked-explanation,"Raw data is processed, analysed, or organised. | The transformed output becomes meaningful or useful in context.","Defining data only, without mentioning transformation.",paper-2|official|data-transformation
p2-2022-004,official-past-paper,Paper 2 Autumn 2022,core,paper-2,2022,Autumn,section-a,digital-environments,virtual-environments,explain,4,secure,scenario-response,5,Why use virtual environments,Explain two reasons why a cyber security company would use virtual environments to develop and test a new anti-virus tool.,points-linked-explanation,"Isolation helps protect the host system while testing malicious or risky code. | Virtual environments are easier to reset, duplicate, or configure for testing. | They can be cost-effective and support multiple environments on shared hardware. | Each reason needs a linked benefit to development or testing.",Talking about cloud computing instead of virtual environments.,paper-2|official|virtualisation|testing
p2-2022-005,official-past-paper,Paper 2 Autumn 2022,core,paper-2,2022,Autumn,section-a,data,analysis-tools,evaluate,9,stretch,extended-open,12,Evaluate data analysis tools in business,Evaluate the use of data analysis tools and their use in business.,levels-evaluate,"Relevant tools include data warehouses, data lakes, data marts, data mining, and reporting. | Strong answers explain how businesses use them for planning, CRM, or insight generation. | Balanced answers consider benefits such as better decisions and drawbacks such as cost, skills, or data quality risks. | A reasoned judgement is needed for top marks.",Listing tools with no business application. | Ignoring drawbacks or limits.,paper-2|official|data-analysis|business-intelligence
p2-2023-001,official-past-paper,Paper 2 2023,core,paper-2,2023,Summer,section-a,business-context,digital-value,explain,4,secure,scenario-response,5,UI design for end users,A digital system is being developed for use in doctors' surgeries to help prescribe medicines. Explain two ways the UI design should consider end-user characteristics.,points-linked-explanation,"Valid characteristics include age, digital skill, accessibility needs, or literacy. | Each point links the characteristic to a UI decision such as font size, contrast, simple navigation, or clear wording.",Describing medical features rather than user characteristics.,paper-2|official|user-needs|ui|accessibility
p2-2023-002,official-past-paper,Paper 2 2023,core,paper-2,2023,Summer,section-a,security,cia-and-iaaa,describe,4,secure,short-open,5,Confidentiality and integrity,Describe how the relationship between confidentiality and integrity of patient records can be applied in a new system.,points-linked-explanation,Confidentiality keeps records private from unauthorised users. | Integrity ensures records are accurate and not tampered with. | A strong answer links access control to protecting integrity. | The application is tied to patient records rather than security in general.,Explaining availability instead of integrity.,paper-2|official|cia|health-data
p2-2023-003,official-past-paper,Paper 2 2023,core,paper-2,2023,Summer,section-a,business-context,change-management,describe,4,secure,short-open,5,Unforeseen change triggers,Describe two unforeseen factors that could trigger change in an organisation.,points-linked-explanation,"Valid unforeseen factors include system failure, zero-day vulnerabilities, data corruption, cyber-attacks, or natural disasters. | Each factor needs a linked description of why it forces change.",Giving planned strategic changes instead of unforeseen triggers.,paper-2|official|change-triggers
p2-2023-004,official-past-paper,Paper 2 2023,core,paper-2,2023,Summer,section-a,data,visualisation-models-and-access,evaluate,9,stretch,extended-open,12,Evaluate data access permissions,Evaluate the impact of data access permissions on an organisation.,levels-evaluate,"Relevant points include authorisation, privileges, access rights, RBAC, and API access management. | Benefits may include security, compliance, and reduced misuse. | Drawbacks or challenges may include administration overhead, poor user experience, or blocked productivity if badly configured. | Top-level answers balance impact and reach a judgement.",Discussing network protocols rather than permission control.,paper-2|official|access-control|permissions
esp-001,curriculum-authored,Derived from ESP pages 49-58,core,employer-set-project,,,project-prep,employer-set-project,planning,justify,8,stretch,portfolio-task,12,Plan a project response,A client needs a dashboard product in six weeks. Outline the key sections of a project plan and justify two major scheduling or resource decisions you would include.,esp-rationale,"A strong plan includes tasks, subtasks, milestones, resources, costs, and deadlines. | Decisions are justified with staffing, risk, dependency, or budget reasoning. | The response links planning choices to the brief and delivery window. | Resource and schedule choices are internally coherent.",Listing headings only with no rationale. | Ignoring task dependencies or realistic resourcing.,esp|planning|gantt|resources
esp-002,curriculum-authored,Derived from ESP pages 50-52,core,employer-set-project,,,project-prep,employer-set-project,defect-fixing,describe,6,secure,portfolio-task,9,Testing evidence for defect fixing,Describe the evidence you should capture when testing existing code to identify and fix defects in the ESP.,esp-rationale,Tests to be carried out | Purpose of each test | Test data including valid and invalid cases | Expected results | Actual results | Further actions or refinement after testing,Only mentioning the bug fix and not the evidence trail.,esp|testing|defects|evidence
esp-003,curriculum-authored,Derived from ESP pages 50-52,core,employer-set-project,,,project-prep,employer-set-project,design,explain,8,stretch,portfolio-task,12,Communicate a solution design,Explain what makes a strong design submission for the ESP when you are presenting algorithms and solution structure to a client and a third-party developer.,esp-rationale,The design should decompose the problem into clear sub-systems. | Algorithms should be logically correct and use suitable constructs. | Conventions should be applied consistently in code or flowchart notation. | The design should communicate clearly to both technical and non-technical audiences. | There should be enough detail for informed decisions and onward implementation.,Treating design as only screen sketches. | Ignoring audience.,esp|design|algorithms|communication
esp-004,curriculum-authored,Derived from ESP pages 52 and 56-57,core,employer-set-project,,,project-prep,employer-set-project,evaluation,evaluate,8,stretch,portfolio-task,12,Reflective evaluation,Evaluate how you would show that an ESP product meets the brief and explain what you would include in a reflective review.,esp-rationale,Measure outcomes against success criteria and user needs. | Use testing evidence to support claims. | Discuss strengths and limitations honestly. | Suggest practical improvements if the product were revisited.,Only saying the product works without evidence. | Giving vague improvements disconnected from the brief.,esp|evaluation|review|success-criteria
os-001,curriculum-authored,Derived from OS pages 59-64,occupational-specialism,occupational-specialism,,,scenario-prep,occupational-specialism-digital-software-development,requirements-and-acceptance-criteria,define,8,stretch,scenario-response,12,Functional and non-functional requirements,"A client wants a booking platform for community events. Define suitable functional requirements, non-functional requirements, and user acceptance criteria for the solution.",esp-rationale,"Functional requirements describe what the system must do. | Non-functional requirements cover areas such as security, accessibility, scalability, and performance. | Acceptance criteria are measurable and tied to user outcomes or KPIs. | A strong answer keeps the requirements aligned to the brief and user needs.",Writing vague aims instead of measurable requirements. | Confusing features with acceptance criteria.,os|requirements|acceptance-criteria|kpis
os-002,curriculum-authored,Derived from OS pages 61-63,occupational-specialism,occupational-specialism,,,scenario-prep,occupational-specialism-digital-software-development,methodology-and-team,justify,8,stretch,scenario-response,12,Choose a methodology,"Justify whether Agile, Waterfall, or RAD is more suitable for a small software team building a product with evolving user requirements.",levels-evaluate,"The chosen methodology should match changing requirements and team size. | Agile or RAD may suit incremental feedback and iteration; Waterfall may be less suitable if requirements are unstable. | A high-mark answer compares alternatives and justifies a final choice. | The response links methodology to user involvement, documentation, pace, and risk.",Naming a methodology with no contextual reasoning.,os|methodologies|agile|waterfall|rad
os-003,curriculum-authored,Derived from OS pages 67-68,occupational-specialism,occupational-specialism,,,design-clinic,occupational-specialism-digital-software-development,research-and-evidence,evaluate,6,secure,scenario-response,8,Reliable sources of knowledge,Evaluate the reliability of two different sources you might use when researching how to implement a new feature for a software project.,levels-evaluate,"A strong answer considers credibility, bias, evidence, recency, and triangulation. | It compares source types such as official docs, forums, academic papers, or blogs. | The evaluation leads to a justified judgement about which source is more dependable for the task.",Calling a source reliable simply because it is online.,os|research|source-reliability
os-004,curriculum-authored,Derived from OS pages 73-80,occupational-specialism,occupational-specialism,,,scenario-prep,occupational-specialism-digital-software-development,implementation-testing-support,discuss,10,stretch,extended-open,14,"Implement, test, and support","Discuss how you would implement, test, deploy, and support a software product that uses a front end, a back end, and a database.",levels-evaluate,"Implementation should reference at least two languages or layers plus suitable tools and modules. | Testing should include functional and non-functional methods with valid test data. | Deployment should match context, such as web, cloud, local, or containerised release. | Support should include communication, issue resolution, documentation, and maintenance. | The answer is strongest when it connects choices to user needs, risk, and scale.",Focusing on coding only and ignoring testing or support.,os|implementation|testing|deployment|support
